sentence1,sentence2,score
"['result', 'murphy', 'sought', 'substitute', 'striers', 'sister', 'ethel', 'celnik', 'trustee']","['murphy', 'said', 'striers', 'sister', 'ethel', 'celnik', 'courtroom', 'time', 'strier']",1.75
"['rule', 'bars', 'groups', 'airing', 'ads', 'promote', 'support', 'attack', 'oppose', 'candidate', 'time']","['upheld', 'fallback', 'rules', 'bar', 'groups', 'airing', 'ads', 'promote', 'support', 'attack', 'oppose', 'candidate', 'time']",3.75
"['cisco', 'pared', 'spending', 'compensate', 'sluggish', 'sales']","['response', 'sluggish', 'sales', 'cisco', 'pared', 'spending']",4.8
"['kansas', 'city', 'drafted', 'outfielder', 'chris', 'lubanski', 'kennedykenrick', 'high', 'school', 'pennsylvania', 'fifth', 'pick']","['royals', 'chose', 'chris', 'lubanski', 'high', 'school', 'outfielder', 'pennsylvania', 'hit', 'num', 'fifth', 'pick']",3.4
"['sterling', 'num', 'percent', 'dollar', 'num', 'gbp']","['dollar', 'rose', 'num', 'percent', 'japanese', 'currency', 'num', 'yen']",0.8
"['dow', 'jones', 'industrial', 'average', 'dji', 'rose', 'num', 'points', 'num', 'percent', 'num']","['dow', 'jones', 'rose', 'num', 'points', 'friday', 'gain', 'num', 'day', 'num', 'week']",4.0
"['right', 'beginning', 'didnt', 'want', 'see', 'anyone', 'take', 'cut', 'pay']","['mr', 'crosby', 'told', 'associated', 'press', 'right', 'beginning', 'didnt', 'want', 'see', 'anyone', 'take', 'cut', 'pay']",4.0
"['number', 'bureaucratic', 'administrative', 'missed', 'signals', 'theres', 'one', 'person', 'whos', 'responsible', 'gehman', 'said']","['turning', 'nima', 'offer', 'gehman', 'said', 'number', 'bureaucratic', 'administrative', 'missed', 'signals']",3.75
"['devries', 'make', 'one', 'stop', 'town', 'wednesday', 'registering', 'sex', 'offender', 'soledad', 'police', 'department']","['convicted', 'child', 'molester', 'brian', 'devries', 'spoke', 'response', 'community', 'outrage', 'wednesday', 'afternoon', 'registering', 'sex', 'offender', 'soledad', 'police', 'department']",3.25
"['num', 'pm', 'edt', 'graces', 'center', 'near', 'latitude', 'num', 'north', 'longitude', 'num', 'west', 'num', 'miles', 'eastsoutheast', 'corpus', 'christi']","['num', 'edt', 'fabians', 'center', 'near', 'latitude', 'num', 'north', 'longitude', 'num', 'west', 'num', 'miles', 'east', 'leewards']",1.25
"['saturday', 'nummph', 'serve', 'agassi', 'equalled', 'rusedskis', 'world', 'record']","['saturday', 'roddick', 'equalled', 'world', 'record', 'num', 'mph', 'serve', 'beating', 'andre', 'agassi']",3.5
"['broader', 'standard', 'poors', 'num', 'index', 'spx', 'climbed', 'num', 'points', 'num', 'percent', 'num']","['nasdaq', 'composite', 'index', 'ixic', 'jumped', 'num', 'points', 'num', 'percent', 'num']",1.0
"['october', 'heating', 'oil', 'futures', 'settled', 'num', 'cent', 'lower', 'num', 'cents', 'gallon']","['october', 'heating', 'oil', 'ended', 'num', 'cent', 'num', 'cents', 'gallon']",2.5
"['mr', 'levine', 'confirmed', 'ms', 'cohen', 'alon', 'tried', 'sell', 'story', 'world', 'cup']","['ms', 'cohen', 'alons', 'lawyer', 'donald', 'levine', 'confirmed', 'tried', 'sell', 'story', 'february']",3.438
"['mr', 'bankhead', 'said', 'crime', 'scenes', 'indicated', 'killer', 'methodical']","['gbi', 'spokesman', 'john', 'bankhead', 'said', 'murder', 'scenes', 'showed', 'killer', 'methodical']",4.0
"['moves', 'us', 'lot', 'closer', 'saying', 'foam', 'kind', 'damage', 'said', 'hubbard', 'member', 'columbia', 'accident', 'investigation', 'board']","['think', 'moves', 'us', 'lot', 'closer', 'toward', 'saying', 'foam', 'kind', 'damage', 'hubbard', 'said']",3.6
"['nothing', 'stakes', 'internal', 'personnel', 'decision', 'microsoft', 'spokesman', 'sean', 'sundwell', 'said']","['microsoft', 'absolutely', 'nothing', 'atstakes', 'internal', 'personnel', 'decision', 'sundwall', 'said']",4.2
"['egyptologists', 'cast', 'doubt', 'tuesday', 'expeditions', 'claim', 'may', 'found', 'mummy', 'queen', 'nefertiti', 'one', 'bestknown', 'ancient', 'egyptians']","['egyptologists', 'think', 'may', 'identified', 'longsought', 'mummy', 'queen', 'nefertiti', 'one', 'ancient', 'worlds', 'legendary', 'beauties']",2.6
"['treasurys', 'longrange', 'plan', 'provide', 'retail', 'buyers', 'treasury', 'securities', 'ability', 'manage', 'holdings', 'online', 'single', 'account']","['treasury', 'said', 'wants', 'give', 'retail', 'buyers', 'treasury', 'securities', 'ability', 'eventually', 'manage', 'holdings', 'online', 'single', 'account']",4.4
"['listed', 'last', 'night', 'critical', 'stable', 'condition', 'kings', 'county', 'hospital', 'center', 'police', 'said']","['victim', 'new', 'jersey', 'resident', 'critical', 'stable', 'condition', 'hospital']",3.25
"['numyear', 'bond', 'usnumytrr', 'grew', 'num', 'yield', 'num', 'percent', 'num', 'percent', 'late', 'wednesday']","['num', 'num', 'gmt', 'numyear', 'note', 'usnumytrr', 'num', 'yield', 'num', 'percent', 'num', 'percent', 'wednesday']",2.0
"['iacs', 'stock', 'closed', 'yesterday', 'num', 'num', 'percent', 'num']","['interactivecorps', 'shares', 'closed', 'num', 'num', 'num', 'percent', 'nasdaq', 'stock', 'market']",4.5
"['byrd', 'speaking', 'senate', 'floor', 'said', 'questioned', 'motives', 'deskbound', 'president', 'assumes', 'garb', 'warrior', 'purposes', 'speech']","['question', 'motives', 'deskbound', 'president', 'assumes', 'garb', 'warrior', 'purposes', 'speech']",3.4
"['ministry', 'defence', 'facing', 'numm', 'compensation', 'claim', 'hundreds', 'kenyan', 'women', 'claim', 'raped', 'british', 'soldiers']","['hundreds', 'kenyan', 'women', 'claiming', 'attacked', 'raped', 'british', 'soldiers', 'granted', 'government', 'legal', 'aid', 'wednesday', 'pursue', 'case', 'ministry', 'defense']",3.0
"['shares', 'usa', 'interactive', 'rose', 'num', 'num', 'percent', 'num', 'friday', 'nasdaq', 'stock', 'market', 'composite', 'trading', 'gained', 'num', 'percent', 'year']","['shares', 'lendingtree', 'rose', 'num', 'num', 'percent', 'close', 'num', 'nasdaq', 'stock', 'market', 'yesterday']",1.0
"['similar', 'bills', 'passed', 'house', 'twice', 'died', 'senate']","['two', 'years', 'ago', 'house', 'passed', 'similar', 'version', 'floundered', 'senate']",2.75
"['shows', 'closure', 'affected', 'thirdquarter', 'earnings', 'per', 'share', 'penny']","['company', 'said', 'impacted', 'earnings', 'penny', 'share']",3.25
"['woman', 'hospitalized', 'june', 'num', 'kansas', 'health', 'officials', 'said']","['missouri', 'health', 'officials', 'said', 'hospitalized', 'recovering']",1.0
"['blue', 'chips', 'edged', 'lower', 'midday', 'wednesday', 'wave', 'profit', 'warnings', 'drained', 'optimism', 'driven', 'rally', 'past', 'three', 'months']","['us', 'stocks', 'fell', 'early', 'morning', 'trade', 'wednesday', 'wave', 'profit', 'warnings', 'drained', 'optimism', 'driven', 'rally', 'past', 'three', 'months']",3.6
"['technologylaced', 'nasdaq', 'composite', 'index', 'ixic', 'tacked', 'num', 'points', 'num', 'percent', 'num']","['technologyfocused', 'nasdaq', 'composite', 'index', 'ixic', 'advanced', 'num', 'points', 'num', 'percent', 'num', 'erasing', 'earlier', 'losses']",3.2
"['two', 'kuwaitis', 'six', 'palestinians', 'jordanian', 'passports', 'among', 'suspects', 'official', 'said']","['include', 'two', 'kuwaitis', 'six', 'palestinians', 'jordanian', 'passports', 'remainder', 'iraqis', 'saudis', 'official', 'said']",3.0
"['birthday', 'num', 'april', 'declared', 'public', 'holiday', 'attended', 'reception', 'ball']","['grandmother', 'thenprincess', 'elizabeth', 'turned', 'num', 'num', 'day', 'declared', 'public', 'holiday', 'attended', 'reception', 'ball']",3.2
"['sorkin', 'faces', 'charges', 'conspiracy', 'obstruct', 'justice', 'lying', 'grand', 'jury', 'tried', 'separately']","['sorkin', 'tried', 'separately', 'charges', 'conspiracy', 'lying', 'grand', 'jury']",4.6
"['man', 'entered', 'post', 'office', 'lakeside', 'shortly', 'num', 'pm', 'gave', 'deputies', 'num', 'pm']","['man', 'entered', 'post', 'office', 'woodside', 'avenue', 'maine', 'avenue', 'shortly', 'num', 'pm']",2.8
"['fewer', 'num', 'fbi', 'offices', 'conducted', 'investigations', 'involving', 'visits', 'mosques', 'justice', 'department', 'said']","['addition', 'justice', 'department', 'said', 'fbi', 'conducted', 'fewer', 'num', 'investigations', 'involving', 'visits', 'mosques']",4.2
"['outside', 'court', 'sriyanto', 'faces', 'num', 'years', 'jail', 'denied', 'done', 'anything', 'wrong']","['outside', 'court', 'sriyanto', 'denied', 'age', 'done', 'anything', 'wrong']",3.2
"['university', 'michigan', 'president', 'mary', 'sue', 'coleman', 'said', 'statement', 'universitys', 'web', 'site', 'fundamental', 'values', 'havent', 'changed']","['fundamental', 'values', 'havent', 'changed', 'mary', 'sue', 'coleman', 'president', 'university', 'said', 'statement', 'ann', 'arbor']",4.0
"['comcast', 'class', 'shares', 'num', 'cents', 'num', 'morning', 'trading', 'nasdaq', 'stock', 'market']","['stock', 'rose', 'num', 'cents', 'num', 'yesterday', 'nasdaq', 'stock', 'market', 'trading']",2.2
"['thomas', 'joined', 'full', 'rehnquist', 'parts', 'oconnor', 'scalia']","['joined', 'chief', 'justice', 'william', 'h', 'rehnquist', 'justices', 'sandra', 'day', 'oconnor', 'antonin', 'scalia']",2.8
"['crossed', 'line', 'violated', 'constitutional', 'right', 'said', 'charles', 'weisselberg', 'uc', 'berkeley', 'law', 'professor']","['crossed', 'line', 'violated', 'constitutional', 'right', 'said', 'charles', 'weisselberg', 'teaches', 'law', 'university', 'california', 'berkeley']",5.0
"['preliminary', 'reports', 'men', 'seen', 'together', 'airport', 'sources', 'said']","['men', 'pakistani', 'passports', 'reportedly', 'seen', 'together', 'airport', 'earlier', 'evening', 'law', 'enforcement', 'sources', 'said']",2.0
"['toronto', 'yesterday', 'num', 'probable', 'cases', 'sars', 'nine', 'suspect', 'cases']","['wednesday', 'num', 'probable', 'sars', 'cases', 'toronto', 'region']",3.25
"['nasdaq', 'composite', 'index', 'rose', 'num', 'num', 'per', 'cent', 'num']","['technologylaced', 'nasdaq', 'composite', 'index', 'ixic', 'gained', 'num', 'points', 'num', 'percent', 'finish', 'num']",3.75
"['toll', 'australias', 'secondlargest', 'transport', 'company', 'last', 'week', 'offered', 'nznum', 'share', 'tranz', 'rail']","['toll', 'last', 'week', 'offered', 'buy', 'company', 'nznumc', 'share', 'nznum', 'million']",3.5
"['messagelabs', 'runs', 'outsourced', 'email', 'servers', 'num', 'customers', 'around', 'world', 'said', 'filtered', 'num', 'infected', 'emails', 'num', 'countries', 'thursday', 'morning']","['messagelabs', 'runs', 'outsourced', 'email', 'servers', 'num', 'customers', 'around', 'world', 'labeled', 'worm', 'high', 'risk', 'reports', 'num', 'infections', 'num', 'countries']",2.75
"['carlson', 'tuesday', 'said', 'would', 'recuse', 'case']","['service', 'officials', 'said', 'carlson', 'refused', 'recuse', 'case']",4.0
"['oracle', 'shares', 'also', 'higher', 'trading', 'num', 'cents', 'num']","['shares', 'redwood', 'shoresbased', 'oracle', 'rose', 'num', 'cents', 'num']",2.0
"['precincts', 'reporting', 'fletcher', 'threeterm', 'congressman', 'lexington', 'overwhelming', 'num', 'percent', 'vote']","['precincts', 'reporting', 'fletcher', 'num', 'votes', 'num', 'percent', 'total']",3.0
"['hong', 'kong', 'num', 'patients', 'quarantined', 'wednesday', 'seven', 'public', 'hospital', 'workers', 'developed', 'flulike', 'symptoms']","['seven', 'health', 'care', 'workers', 'public', 'hospital', 'fell', 'ill', 'flulike', 'symptoms']",3.0
"['upside', 'cocacola', 'co', 'nyse', 'ko', 'news', 'people', 'reported', 'higher', 'profit', 'quarter', 'early', 'thursday', 'helped', 'european', 'demand']","['cocacola', 'co', 'ko', 'reported', 'higher', 'profit', 'quarter', 'helped', 'european', 'demand', 'early', 'thursday']",4.6
"['unemployment', 'rate', 'rose', 'tenth', 'percentage', 'point', 'num', 'highest', 'level', 'since', 'july', 'num']","['unemployment', 'rate', 'predicted', 'ticked', 'percentage', 'point', 'num']",3.2
"['part', 'deal', 'mr', 'delainey', 'agreed', 'cooperate', 'continuing', 'investigation']","['dave', 'delainey', 'agreed', 'cooperate', 'federal', 'prosecutors', 'exchange', 'plea']",4.4
"['sources', 'close', 'sale', 'said', 'vivendi', 'keeping', 'door', 'open', 'bids', 'hoped', 'see', 'bidders', 'interested', 'individual', 'assets', 'team']","['sources', 'close', 'sale', 'said', 'vivendi', 'keeping', 'door', 'open', 'bids', 'next', 'day', 'two']",4.0
"['micron', 'declared', 'first', 'quarterly', 'profit', 'three', 'years']","['microns', 'numbers', 'also', 'marked', 'first', 'quarterly', 'profit', 'three', 'years', 'dram', 'manufacturer']",3.75
"['fines', 'part', 'failed', 'republican', 'efforts', 'force', 'entice', 'democrats', 'return']","['perry', 'said', 'backs', 'senates', 'efforts', 'including', 'fines', 'force', 'democrats', 'return']",2.8
"['techloaded', 'nasdaq', 'composite', 'rose', 'num', 'points', 'num', 'ending', 'highest', 'level', 'num', 'months']","['technologylaced', 'nasdaq', 'composite', 'index', 'ixic', 'climbed', 'num', 'points', 'num', 'percent', 'num']",2.4
"['us', 'prosecutors', 'arrested', 'num', 'individuals', 'seized', 'num', 'million', 'continuing', 'crackdown', 'internet', 'fraud', 'abuse']","['num', 'people', 'arrested', 'num', 'million', 'worth', 'property', 'seized', 'internet', 'fraud', 'sweep', 'announced', 'friday', 'three', 'us', 'government', 'agencies']",4.6
"['chavez', 'said', 'investigators', 'feel', 'confident', 'theyve', 'got', 'least', 'one', 'fires', 'resolved', 'regard']","['albuquerque', 'mayor', 'martin', 'chavez', 'said', 'investigators', 'felt', 'confident', 'arrests', 'least', 'one', 'fires', 'resolved']",3.8
"['man', 'accused', 'using', 'fake', 'grenades', 'commandeer', 'cuban', 'plane', 'landed', 'key', 'west', 'april', 'sentenced', 'friday', 'num', 'years', 'prison']","['cuban', 'architect', 'sentenced', 'num', 'years', 'prison', 'friday', 'using', 'two', 'fake', 'grenades', 'hijack', 'passenger', 'plane', 'cuba', 'florida', 'april']",4.4
"['jim', 'williams', 'director', 'usvisit', 'project', 'said', 'middle', 'november', 'many', 'arriving', 'passengers', 'atlanta', 'fingerprinted', 'photographed']","['jim', 'williams', 'director', 'usvisit', 'project', 'said', 'middle', 'november', 'inspectors', 'fingerprinting', 'photographing', 'many', 'foreign', 'passengers', 'arriving', 'atlanta']",4.2
"['hearing', 'occurred', 'day', 'pentagon', 'first', 'time', 'singled', 'officer', 'dallager', 'addressing', 'scandal']","['hearing', 'came', 'one', 'day', 'pentagon', 'first', 'time', 'singled', 'officer', 'dallager', 'failing', 'address', 'scandal']",5.0
"['episcopal', 'church', 'alienating', 'anglican', 'communion', 'said', 'rev', 'peter', 'karanja', 'provost', 'saints', 'cathedral', 'nairobi']","['nairobi', 'provost', 'saints', 'cathedral', 'reverend', 'peter', 'karanja', 'said', 'us', 'episcopal', 'church', 'alienating', 'anglican', 'communion']",5.0
"['counties', 'population', 'declines', 'vermillion', 'posey', 'madison']","['vermillion', 'posey', 'madison', 'county', 'populations', 'decline']",5.0
"['swartz', 'indicted', 'february', 'argued', 'new', 'hampshire', 'wrong', 'place', 'charge']","['swartz', 'sought', 'charges', 'dismissed', 'saying', 'new', 'hampshire', 'wrong', 'place', 'charge']",3.4
"['raffles', 'hospital', 'weekend', 'evaluation']","['underwent', 'tests', 'weekend', 'warded', 'raffles', 'hospital']",3.2
"['bomb', 'exploded', 'casa', 'de', 'españa', 'customers', 'eating', 'dinner', 'playing', 'bingo']","['casa', 'de', 'espaa', 'customers', 'eating', 'dinner', 'playing', 'bingo', 'bomb', 'went']",5.0
"['plofsky', 'said', 'commission', 'wont', 'investigate', 'threeyear', 'statute', 'limitations', 'expired']","['panel', 'begin', 'formal', 'investigation', 'statute', 'limitations', 'expired', 'plofsky', 'said']",4.4
"['convicted', 'spying', 'charges', 'could', 'face', 'death', 'penalty']","['charges', 'espionage', 'aiding', 'enemy', 'carry', 'death', 'penalty']",3.6
"['entrenched', 'interests', 'positioning', 'control', 'networks', 'chokepoints', 'lobbying', 'fcc', 'aid', 'abet']","['may', 'dying', 'entrenched', 'interests', 'positioning', 'control', 'internets', 'chokepoints', 'lobbying', 'fcc', 'aid', 'abet']",3.2
"['church', 'members', 'observers', 'say', 'expect', 'decision', 'could', 'problematic', 'many', 'episcopalians']","['church', 'members', 'observers', 'say', 'anticipate', 'decision', 'could', 'pose', 'doctrinal', 'problems', 'episcopalians', 'believe', 'bible', 'prohibits', 'homosexuality']",3.8
"['squyres', 'principal', 'investigator', 'athena', 'payload', 'collection', 'science', 'instruments', 'carted', 'rover']","['steve', 'squyres', 'cornell', 'university', 'scientist', 'principal', 'investigator', 'missions', 'science', 'instruments']",4.2
"['military', 'said', 'killed', 'num', 'rebels', 'captured', 'nine', 'campaign', 'far', 'loss', 'six', 'soldiers', 'wounded']","['military', 'said', 'killed', 'num', 'rebels', 'captured', 'nine', 'campaign', 'far', 'one', 'soldier', 'killed', 'six', 'wounded']",3.0
"['express', 'scripts', 'esrxo', 'shares', 'fell', 'num', 'percent', 'close', 'num', 'nasdaq']","['shares', 'express', 'scripts', 'esrxo', 'fell', 'num', 'percent', 'num', 'nasdaq', 'late', 'morning', 'trade']",3.0
"['police', 'launched', 'international', 'hunt', 'shevaun', 'pennington', 'ran', 'away', 'numyearold', 'toby', 'studabaker', 'saturday']","['shevaun', 'pennington', 'disappeared', 'saturday', 'morning', 'arranging', 'meet', 'numyearold', 'toby', 'studabaker']",3.0
"['lawyers', 'others', 'familiar', 'federal', 'investigation', 'say', 'remains', 'focused', 'campbell', 'though', 'prosecutors', 'declined', 'discuss', 'probe']","['federal', 'prosecutors', 'refuse', 'discuss', 'investigation', 'lawyers', 'others', 'familiar', 'say', 'remains', 'focused', 'campbell']",4.8
"['dow', 'jones', 'industrial', 'average', 'dji', 'num', 'points', 'num', 'percent', 'num']","['bluechip', 'dow', 'jones', 'industrial', 'average', 'dji', 'fell', 'num', 'points', 'num', 'percent', 'num', 'giving', 'num', 'percent', 'earlier']",2.5
"['peace', 'rules', 'defeated', 'funny', 'cide', 'louisiana', 'derby']","['neither', 'peace', 'rules', 'could', 'keep', 'funny', 'cide', 'drawing', 'away']",2.25
"['boeing', 'said', 'final', 'agreement', 'expected', 'signed', 'next', 'weeks']","['korean', 'air', 'deal', 'expected', 'finalized', 'next', 'several', 'weeks', 'boeing', 'spokesman', 'bob', 'saling', 'said']",3.0
"['shares', 'eds', 'closed', 'thursday', 'num', 'gain', 'num', 'cents']","['shares', 'eds', 'closed', 'thursday', 'num', 'num', 'cents', 'new', 'york', 'stock', 'exchange']",3.667
"['divided', 'supreme', 'court', 'ruled', 'monday', 'congress', 'force', 'nations', 'public', 'libraries', 'equip', 'computers', 'antipornography', 'filters']","['supreme', 'court', 'said', 'monday', 'government', 'require', 'public', 'libraries', 'equip', 'computers', 'antipornography', 'filters', 'rejecting', 'librarians', 'complaints', 'law', 'amounts', 'censorship']",3.6
"['weakness', 'exists', 'way', 'vba', 'looks', 'properties', 'documents', 'passed', 'document', 'opened', 'host', 'application']","['vulnerability', 'exists', 'way', 'microsofts', 'visual', 'basic', 'applications', 'checks', 'document', 'properties', 'passed', 'document', 'opened']",3.8
"['num', 'million', 'phonedin', 'votes', 'num', 'percent', 'studdard', 'putting', 'num', 'votes', 'ahead', 'aiken']","['num', 'million', 'phone', 'votes', 'cast', 'studdard', 'num', 'votes', 'ahead', 'aiken']",3.4
"['consumers', 'still', 'would', 'get', 'descrambling', 'security', 'card', 'cable', 'operator', 'plug', 'set']","['watch', 'pay', 'television', 'consumers', 'would', 'insert', 'set', 'security', 'card', 'provided', 'cable', 'service']",3.4
"['however', 'decided', 'opt', 'european', 'consortiums', 'engine', 'best', 'overall', 'solution', 'due', 'substantial', 'price', 'efforts', 'made']","['however', 'decided', 'opt', 'european', 'consortiums', 'engine', 'best', 'overall', 'solution']",3.8
"['food', 'drug', 'administration', 'rejected', 'imclones', 'num', 'application', 'sell', 'erbitux', 'citing', 'shoddy', 'research']","['us', 'food', 'drug', 'administration', 'rejected', 'imclones', 'original', 'application', 'december', 'num', 'saying', 'trial', 'sloppily', 'conducted']",2.8
"['critics', 'say', 'law', 'violates', 'civil', 'liberties', 'something', 'house', 'judiciary', 'committee', 'chairman', 'james', 'sensenbrenner', 'rwis', 'says', 'sensitive']","['house', 'judiciary', 'committee', 'chairman', 'james', 'sensenbrenner', 'rwis', 'says', 'sensitive', 'civil', 'liberties', 'complaints']",3.75
"['dodgers', 'sixth', 'consecutive', 'game', 'longest', 'win', 'streak', 'since', 'num', 'edged', 'colorado', 'num', 'wednesday', 'front', 'crowd', 'num', 'dodger', 'stadium']","['dodgers', 'sixth', 'consecutive', 'game', 'seventh', 'last', 'nine', 'beat', 'colorado', 'num', 'wednesday', 'front', 'crowd', 'num', 'dodger', 'stadium']",4.4
"['far', 'searched', 'pennsylvania', 'ohio', 'michigan', 'illinois', 'indiana', 'authorities', 'state', 'said']","['far', 'authorities', 'also', 'searched', 'areas', 'pennsylvania', 'ohio', 'indiana', 'michigan']",3.75
"['numyear', 'bond', 'usnumytrr', 'firmed', 'num', 'taking', 'yield', 'num', 'percent', 'another', 'record', 'low', 'num', 'percent']","['numyear', 'bond', 'usnumytrr', 'firmed', 'num', 'taking', 'yield', 'num', 'percent', 'hitting', 'another', 'record', 'low', 'num', 'percent']",2.75
"['lay', 'argued', 'handing', 'documents', 'would', 'violation', 'fifth', 'amendment', 'rights', 'selfincrimination']","['lay', 'refused', 'turn', 'papers', 'asserting', 'fifth', 'amendment', 'right', 'selfincrimination']",3.8
"['strayhorn', 'said', 'first', 'time', 'texas', 'history', 'comptroller', 'certified', 'appropriations', 'act']","['news', 'release', 'thursday', 'strayhorn', 'said', 'first', 'time', 'comptroller', 'rejected', 'budget']",3.2
"['excluding', 'charges', 'analysts', 'average', 'expected', 'loss', 'num', 'cents', 'share']","['analysts', 'polled', 'thomson', 'financial', 'first', 'call', 'expected', 'see', 'loss', 'num', 'cents', 'share', 'continuing', 'operations']",3.8
"['security', 'experts', 'warning', 'new', 'massmailing', 'worm', 'spreading', 'widely', 'across', 'internet', 'sometimes', 'posing', 'email', 'microsoft', 'founder']","['new', 'worm', 'spreading', 'rapidly', 'across', 'internet', 'sometimes', 'pretending', 'email', 'microsoft', 'chairman', 'bill', 'gates', 'antivirus', 'vendors', 'said', 'monday']",4.8
"['mr', 'sahel', 'said', 'police', 'identified', 'bodies', 'seven', 'numstrong', 'cell', 'believed', 'carried', 'five', 'almost', 'simultaneous', 'attacks', 'saturday']","['said', 'police', 'identified', 'bodies', 'seven', 'num', 'bombers', 'launched', 'five', 'almost', 'simultaneous', 'raids', 'friday', 'night']",4.0
"['new', 'jersey', 'bans', 'holders', 'learners', 'permits', 'intermediate', 'licenses', 'using', 'cell', 'phones', 'pagers', 'wireless', 'devices', 'driving']","['addition', 'ntsb', 'also', 'recommended', 'nhtsa', 'state', 'legislation', 'enacted', 'prohibit', 'holders', 'learners', 'permits', 'intermediate', 'licenses', 'using', 'mobile', 'phones', 'driving']",1.4
"['university', 'michigan', 'released', 'today', 'new', 'admissions', 'policy', 'us', 'supreme', 'court', 'struck', 'june', 'way', 'previously', 'admitted', 'undergraduates']","['university', 'michigan', 'plans', 'release', 'new', 'undergraduate', 'admissions', 'policy', 'thursday', 'acceptance', 'requirements', 'rejected', 'us', 'supreme', 'court', 'june']",4.2
"['audiotape', 'aired', 'last', 'week', 'arab', 'aljazeera', 'television', 'network', 'appears', 'effort', 'incite', 'attacks']","['audiotape', 'aired', 'last', 'week', 'arab', 'aljazeera', 'television', 'network', 'may', 'strongest', 'evidence', 'yet', 'saddam', 'survived', 'war']",1.8
"['company', 'didnt', 'detail', 'costs', 'replacement', 'repairs']","['company', 'officials', 'expect', 'costs', 'replacement', 'work', 'run', 'millions', 'dollars']",2.0
"['dean', 'told', 'reporters', 'traveling', 'numcity', 'sleepless', 'summer', 'tour', 'considered', 'campaigning', 'texas', 'challenge']","['today', 'dean', 'ends', 'fourday', 'numcity', 'sleepless', 'summer', 'tour', 'chicago', 'new', 'york']",2.6
"['felt', 'disagreed', 'rosie', 'much', 'would', 'lose', 'job', 'said']","['cavender', 'say', 'felt', 'disagreed', 'rosie', 'much', 'would', 'lose', 'job']",3.25
"['american', 'decision', 'provoked', 'angry', 'reaction', 'european', 'commission', 'described', 'move', 'legally', 'unwarranted', 'economically', 'unfounded', 'politically', 'unhelpful']","['european', 'commission', 'eus', 'powerful', 'executive', 'body', 'described', 'move', 'legally', 'unwarranted', 'economically', 'unfounded', 'politically', 'unhelpful']",3.75
"['ms', 'crippsprawak', 'left', 'last', 'friday', 'two', 'days', 'department', 'introduced', 'plan', 'distribute', 'medical', 'marijuana', 'doctors', 'offices']","['director', 'office', 'medical', 'access', 'cindy', 'crippsprawak', 'left', 'job', 'department', 'introduced', 'plan', 'distribute', 'marijuana', 'doctors', 'offices']",4.25
"['num', 'num', 'morgenthau', 'said', 'wire', 'transfers', 'four', 'beacon', 'hills', 'num', 'accounts', 'totaled', 'num', 'billion']","['wire', 'transfers', 'four', 'num', 'accounts', 'open', 'beacon', 'hill', 'totaled', 'num', 'billion', 'num', 'num', 'morgenthau', 'said']",4.75
"['last', 'year', 'made', 'unsuccessful', 'bid', 'democratic', 'nomination', 'governor']","['ran', 'last', 'year', 'democratic', 'nomination', 'texas', 'governor', 'lost', 'primary', 'multimillionaire', 'tony', 'sanchez']",3.25
"['nations', 'largest', 'retailer', 'told', 'num', 'top', 'suppliers', 'start', 'using', 'electronic', 'tags', 'pallets', 'goods', 'jan', 'num', 'num']","['walmart', 'told', 'top', 'num', 'suppliers', 'theyll', 'need', 'radiofrequency', 'id', 'systems', 'place', 'tracking', 'pallets', 'goods', 'supply', 'chain', 'jan', 'num', 'num']",3.75
"['taken', 'hospital', 'precautionary', 'xrays', 'neck']","['harvey', 'taken', 'st', 'lukes', 'hospital', 'precautionary', 'neck', 'xrays', 'came', 'back', 'negative']",3.25
"['bill', 'says', 'woman', 'undergoes', 'abortion', 'couldnt', 'prosecuted']","['woman', 'underwent', 'abortion', 'could', 'prosecuted', 'bill']",5.0
"['num', 'democrats', 'assembly', 'num', 'republicans']","['democrats', 'dominate', 'assembly', 'republicans', 'control', 'senate']",2.0
"['came', 'basically', 'washington', 'establish', 'relationships', 'make', 'sure', 'getting', 'federal', 'money', 'california', 'schwarzenegger', 'said', 'meeting', 'congressional', 'republicans']","['came', 'washington', 'basically', 'establish', 'relationships', 'make', 'sure', 'getting', 'federal', 'money', 'schwarzenegger', 'said', 'one', 'meeting']",4.2
"['latest', 'snapshot', 'labor', 'markets', 'slightly', 'better', 'economists', 'expecting', 'forecasting', 'claims', 'fall', 'lower', 'num', 'last', 'week']","['despite', 'problems', 'job', 'market', 'latest', 'snapshot', 'labor', 'markets', 'slightly', 'better', 'economists', 'expecting']",3.4
"['chante', 'jawan', 'mallard', 'num', 'went', 'trial', 'monday', 'charged', 'firstdegree', 'murder']","['chante', 'jawaon', 'mallard', 'num', 'charged', 'murder', 'tampering', 'evidence']",3.0
"['linda', 'saunders', 'pleaded', 'guilty', 'federal', 'court', 'six', 'charges', 'including', 'extortion', 'money', 'laundering', 'conspiracy']","['former', 'phipps', 'aides', 'linda', 'saunders', 'bobby', 'mclamb', 'pleaded', 'guilty', 'federal', 'charges', 'including', 'extortion']",2.75
"['vivendi', 'shares', 'closed', 'num', 'percent', 'paris', 'num', 'euros']","['vivendi', 'shares', 'num', 'percent', 'num', 'euros', 'paris', 'num', 'gmt']",2.6
